Nome,Precos
['Cerveja HEINEKEN Lata 350ml'],"['R$4,65']"
['Cerveja AMSTEL Puro Malte Lata 350ml'],"['R$3,19']"
['Cerveja LAGUNITAS Ipa Long Neck 355ml'],"['R$8,99']"
['Cerveja BADEN BADEN American Ipa Lata 350ml'],"['R$5,39']"
['Cerveja Stella Artois Puro Malte 269ml Lata'],"['R$3,49']"
['Cerveja Lager Puro Malte Amstel Lata 269ml'],"['R$2,39']"
['Cerveja EISENBAHN American Ipa Puro Malte Lata 350ml'],"['R$4,39']"
['Cerveja EISENBAHN Pilsen Puro Malte Lata 350ml'],"['R$3,99']"
['Cerveja BADEN BADEN Pilsen Cristal Garrafa 600ml'],"['R$9,99']"
['Cerveja Eisenbahn Weizenbier Long Neck 355ml'],"['R$4,99']"
['Cerveja Belga HOEGAARDEN Witbier Garrafa 330ml Importada'],"['R$7,99']"
['Cerveja HEINEKEN Garrafa 600ml'],"['R$9,99']"
['Cerveja BADEN BADEN Cristal Pilsen Lata 350ml'],"['R$5,39']"
['Cerveja COLORADO Appia Garrafa 600ml'],"['R$10,99']"
['Cerveja Budweiser American Lager 269ml Lata'],"['R$3,29']"
['Cerveja Heineken Keg 5L '],"['R$79,99']"
['Cerveja Corona Extra Pilsen 330ml Long Neck'],"['R$5,99']"
['Cerveja Brahma Duplo Malte Puro Malte 350ml Lata'],"['R$3,19']"
['Cerveja BADEN BADEN Witbier Lata 350ml'],"['R$5,39']"
['Cerveja EISENBAHN American Ipa Puro Malte Long Neck 355ml'],"['R$4,99']"
['Cerveja Guinness Draught In Can 440ml'],"['R$21,90']"
['Kit 4 Cerveja Stella Artois SEM GLUTEN 330 ML Long Neck + Mix De Cogumelos Burger SEARA Gourmet Caixa 320g'],"['R$46,25']"
['Cerveja AVÓS Vó Antônia India Pale Lager Lata 473ml'],"['R$25,99']"
['CERV THEREZ DUNKEL'],"['R$11,99']"
['Cerveja Skol Pilsen 269ml Lata'],"['R$2,39']"
['Cerveja MARTINA Artesanal Session Ipa Garrafa 300ml'],"['R$9,09']"
['Cerveja Invicta New Senssesion Garrafa 500ml'],"['R$19,99']"
['Cerveja CONTI Malzbier Lata 350ml'],"['R$2,10']"
['Cerveja EISENBAHN Pilsen Long Neck Garrafa 355ml com 12 Unidades'],"['R$51,48']"
['Kit 4 Cervejas EISENBAHN Pilsen Long Neck Garrafa 355ml + Mix de Nuts com Castanha QUALITÁ 200g'],"['R$39,65']"
['Cerveja Mexicana SOL Garrafa 330ml - Caixa com 24 Unidades'],"['R$102,96']"
['Cerveja Lager Premium Madalena Garrafa 600ml'],"['R$20,99']"
['Kit 1 Cerveja COLORADO DEMOISEL Garrafa 600ML + 2 Chocolate 60% Cacau Montblanc 80g'],"['R$46,97']"
['Cerveja IPA Ginjo Puro Malte Prius Prime Garrafa 600ml'],"['R$24,99']"
['Cerveja BLONDINE Jackpot Lata 350ml'],"['R$10,99']"
['Kit Pizza Artesanal Margherita Seara Gourmet 450g + Ketchup Heinz Squeeze 397g + 6 Cervejas Becks Puro Malte 350ml Lata'],"['R$74,02']"
['Kit Pizza Artesanal Calabrese Seara Gourmet 450g + Ketchup Heinz Squeeze 397g + 6 Cervejas Becks Puro Malte 350ml Lata'],"['R$74,02']"
['Kit 6 Cerveja BECKS 350 ML Lata + Pizza Artesanal Calabrese SEARA Gourmet 450g'],"['R$63,53']"
['kit 12 Cerveja Budweiser Long neck 330 ml + 1 Hambúrguer Big de Picanha WESSEL Caixa 400g'],"['R$81,87']"
['Kit com 15 Cervejas SKOL Lata 269ml Cada + Sacola Cooler'],"['R$77,84']"
['Kit 6 Cervejas BUDWEISER Lata 269ml + Ancho Suíno ao Chimichurri SEARA 600g'],"['R$45,10']"
['Cerveja HEINEKEN Garrafa 600ml - Caixa com 12 Unidades'],"['R$119,88']"
['Cerveja Belga VEDETT White Garrafa 330ml - Caixa com 24 Unidades'],"['R$575,76']"
['Kit de Cerveja Eisenbahn Pilsen e Weiss harmonizados com Mix de Nuts e Queijo Brie'],"['R$67,62']"
['Kit 4 Cervejas EISENBAHN Pilsen Long Neck Garrafa 355ml + Queijo Tipo Brie FAIXA AZUL 300g'],"['R$00,00']"
['Cerveja EISENBAHN Pilsen Long Neck Garrafa 355ml - Caixa com 12 Unidades'],"['R$51,48']"
['Kit de Cervejas EISENBAHN Diversas - 12 Unidades'],"['R$52,08']"
['Cerveja Belga VEDETT White Garrafa 330ml Cada - Caixa com 4 unidades'],"['R$95,96']"
['Cerveja MARTINA Artesanal Lager Garrafa 600ml'],"['R$15,99']"
