Nome,Precos
['Cerveja HEINEKEN Garrafa 600ml'],"['R$9,99']"
['Cerveja Belga HOEGAARDEN Witbier Garrafa 330ml Importada'],"['R$6,99']"
['Cerveja HEINEKEN Lata 250ml'],"['R$3,39']"
['Cerveja COLORADO Appia Garrafa 600ml'],"['R$10,99']"
['Cerveja BADEN BADEN Cristal Pilsen Lata 350ml'],"['R$5,39']"
['Cerveja Heineken Keg 5L '],"['R$79,99']"
['Cerveja Budweiser American Lager 269ml Lata'],"['R$3,19']"
['Cerveja Corona Extra Pilsen 330ml Long Neck'],"['R$5,99']"
['Cerveja Brahma Duplo Malte Puro Malte 350ml Lata'],"['R$3,19']"
['Cerveja EISENBAHN Pale Ale Puro Malte Long Neck 355ml'],"['R$4,99']"
['Cerveja BADEN BADEN Witbier Lata 350ml'],"['R$5,39']"
['Cerveja EISENBAHN American Ipa Puro Malte Long Neck 355ml'],"['R$4,99']"
['Cerveja Guinness Draught In Can 440ml'],"['R$21,90']"
['Cerveja HEINEKEN Lata 350ml'],"['R$4,39']"
['Cerveja AMSTEL Puro Malte Lata 350ml'],"['R$3,19']"
['Cerveja LAGUNITAS Ipa Long Neck 355ml'],"['R$8,99']"
['Cerveja BADEN BADEN American Ipa Lata 350ml'],"['R$5,39']"
['Cerveja Stella Artois Puro Malte 269ml Lata'],"['R$3,49']"
['Cerveja Lager Puro Malte Amstel Lata 269ml'],"['R$2,39']"
['Cerveja EISENBAHN American Ipa Puro Malte Lata 350ml'],"['R$4,39']"
['Cerveja Pilsen Antarctica Original Lata 269ml'],"['R$2,69']"
['Cerveja EISENBAHN Pilsen Puro Malte Lata 350ml'],"['R$3,99']"
['Cerveja BADEN BADEN Pilsen Cristal Garrafa 600ml'],"['R$10,99']"
['Cerveja Eisenbahn Weizenbier Long Neck 355ml'],"['R$4,99']"
['Cerveja HEINEKEN Lata 250ml -Caixa com 6 Unidades'],"['R$20,34']"
['Kit 4 Cervejas EISENBAHN American IPA Garrafa 355ml + Queijo Holandês Gouda Pedaço 200g'],"['R$41,96']"
['Cerveja Bohemia Puro Malte 350ml Lata Pack C/18'],"['R$55,62']"
['Kit 4 Cervejas EISENBAHN Pale Ale Long Neck Garrafa 355ml + Queijo Parmesão Cilindro FAIXA AZUL Pacote 195g'],"['R$55,95']"
['Cerveja BUDWEISER Garrafa 550ml - 12 Unidades'],"['R$101,88']"
['Cerveja HEINEKEN Lata 350ml - Caixa com 12 Unidades'],"['R$52,68']"
"[""Cerveja Three Monkeys I'm Sour Goiaba e Pitaya Lata 473ml""]","['R$24,99']"
['Cerveja BLONDINE Prost Weiss 500ml'],"['R$19,99']"
